Company,Business Registration,Year of Incorporation,Chief Executive,CEO Position,Business Enquiry,Business Contact Person Position,Office Address,Postcode,City/Town,State,Country,Telephone,Fax,Email,Website,Production Processes,Products Manufactured/Business Line,Current Export Markets
Shye Guan Plastic Industries Sdn Bhd,452027-P,1997.0,Leong Chong Yit,Director,Tan Kwang Choui,Executive,"9 - 11, Persiaran Kilang Pengkalan 32, Kawasan Perindustrian Pengkalan Majau, Lahat",31500.0,,Perak,Malaysia,"605-522 6951, 016-526 3899",605-323 8299,midpack@po.jaring.my,,Recycling,"Recycled Raw Materials - PC, PE, PET, PP and PVC, Recycled Resins",China
SHL Plastic Industries Sdn Bhd,678482-U,2005.0,Lau Seow Hong,Managing Director,Lau Seow Hong,Managing Director,"72, Jalan PKNK 1/8, Kawasan Perindustrian Sungai Petani (LPK), Sungai Petani",8000.0,,Kedah,Malaysia,604-442 0396,604-442 7277,sean.ng@mightysignature.com,,Recycling,"Trading, Processing and Manufacturing of Plastic Crushed/Resin Material","Hong Kong, Taiwan, China"
Shifty Technology Sdn Bhd,662037-K,2004.0,Steven Chu,Chief Executive Officer,Tang Gaik Teng,Marketing Manager,"15, Lorong Serunai, Taman Jawi Light Industrial Park, S.P.S",14200.0,Sg Bakap,Pulau Pinang,Malaysia,604-582 8488,604-582 9488,kalaimalar.v@mpwplastics.com,www.shifty-tech.com,,"Suppliers & Services, Pigments, Masterbatches",
SHI Plastics Machinery (M) Sdn Bhd,261784-V,1993.0,Satoshi Kobayashi,Managing Director,Foo Siang Mond,Sales & Application Manager,"Unit G-01, Tingkat Bawah, Menara Axis, No. 2, Jalan 51A/223",46100.0,Petaling Jaya,Selangor,Malaysia,603-7958 2079/7958 2081,603-7958 2084,ChengHuat.Kua@milliken.com,www.shi.co.jp/plastics,,"Machinery Supplier, Equipment Supplier",
Shiraishi Calcium (M) Sdn Bhd,237108-W,1992.0,So Yoke Huah,Vice President,Toh Leng Wei,Sales & Marketing,"17-3, Jalan 14/22, The Right Angle",46100.0,Petaling Jaya,Selangor,Malaysia,603-7956 8963,603-7956 8062,milpac@mrmsb.com,www.shiraishic.om.my,,Trader,
Sheng Wang Industries Sdn Bhd,,,Lai Bee Kem,Managing Director,Low Zhao Jing,Business Manager,"Lot 1558, Parit Pasir Batu 28, Pekan Nanas",81500.0,,Johor,Malaysia,017-843 5505,607-699 2602,contact@milypak.com,www.shengwang.com,Injection Moulding,Plastic Chair,
Shen Fei Sdn Bhd,20231017016 (1510938-P),2023.0,Chee Tse Chian,Director,Chee Tze Choong,Director,"Lot 225093, Jalan Gopeng, Tungzen Industrial Park, Mukim Sg. Raya",31300.0,Kampung Kepayang,Perak,Malaysia,605-357 1670/6016-555 7586,,minnliplas@gmail.com,shenfei.com.my/,"Film Blowing/Film Extrusion, Pipe Extrusion","Poly Pipe & Poly Bag, Industrial and Construction",
Sheng Foong Plastic Industries Sdn Bhd,480510-P,1999.0,Yeong Sai Key,Managing Director,Zen Ng,Marketing Manager,"3, (PT 2159) KM10, Kawasan Perindustrian Siputeh, Off Jalan Siputeh - Tronoh, Tronoh",31750.0,,Perak,Malaysia,605-3677 163/3677 168,605-3677 189,hello@miracle-spectrum.com,www.shengfoongplastic.com,Extrusion Pelletising (Recycling),Recycled Resin,"China, Russia, Thailand, India, ASEAN Nations, Europe, Middle East"
Sheerflex Industries Sdn Bhd,563417-A,,Tony Lai Chee Voon,Managing Director,Tomas Loi Yew Cheong,Business Manager,"47A & B, Lorong Rahim Kajai 13, Taman Tun Dr Ismail",60000.0,,Wilayah Persekutuan,Malaysia,603-7727 4433/7729 3323,603-7729 3302,info@miripoly.com,www.sheerflex.com.my,"Blow Moulding , Silkscreen-painting","4 GAL Polycarbonate Water Dispenser (Model : SG 118), 3 GAL Polycarbonate Water Dispenser (Model : SG 218), 5 GAL Polycarbonate Water Bottle (Model: SG 168), 3 GAL Polycarbonate Water Bottle (Model : SG 268SN & SG 268LN) , Containers and Bottles","United States, Denmark, Norway, Singapore, Brunei, Ghana, Africa, Australia, Maldives"
Shang Wei Industries Sdn Bhd,,,Lai Cheng Chien,,Lai Cheng Chien,,"Plo 528, Jalan Keluli 3, Kawasan Perindustrian Pasir Gudang, Pasir Gudang",81700.0,,Johor,Malaysia,607-255 2131,607-255 2169,contactus@mixvinyl.com.my,,"Foam Moulding, Injection Moulding, Thermoforming , Lamination","Box, Lid, Bowl, Plate, Cup, Fork , Cutleries, Containers and Bottles","New Zealand, Dubai, Australia"
Shantawood Sdn Bhd,215539-H,1991.0,YBhg Dato' Seri Dr Sow Chin Chuan,Chairman,YBhg Dato' Seri Dr Sow Chin Chuan,Chairman,"Lot 76/77, Kawasan Perindustrian Bukit Rambai",75250.0,,Melaka,Malaysia,606-3513 111,606-3512 111,mm@masterindustries.net,www.shantawood.com.my,Injection Moulding,"Furniture and Parts (Chair Seat, Bed, Plastic Chair), Plastic Roof Truss , Furniture, Industrial and Construction",
SGS Malaysia Sdn Bhd,10871-T,1971.0,Pradit Yongpanchai,Managing Director,Kenny Looi,General Manager Knowledge (KN),"Lot 3 & 4, Persiaran Jubli Perak, Seksyen 22, Shah Alam",40300.0,,Selangor,Malaysia,603-7627 0080,,mmem_my@mme-co.com,www.sgs.com/,,,
Seng Liy Plastic Industry (M) Sdn Bhd,947196-P,2011.0,Tan Hun Koon,Director,Tan Hun Koon,Director,"28 Jalan Tiram 14, Taman Perindustrian Tiram, 81800 Ulu Tiram, Johor, Malaysia.",81800.0,Ulu Tiram,Johor,Malaysia,07-861 2730,07-863 2730,montacoks@gmail.com,,Extrusion Pelletising (Recycling),"Recycling Resin - PVC, HDPE, PP","India, China"
Seng Hiap Metal Sdn Bhd,,1997.0,Seah Chye Ngiap,Managing Director,Tan Cheng Ling,Chief Finance Officer,"Lot 1297, Batu 7, Jalan Bukit Kemuning, Seksyen 34, Shah Alam",40470.0,,Selangor,Malaysia,603-5122 3402,603-5122 2976,enquiries@moldex.com.my,www.henghiap.com,"Compounds , Recycling","Recycling , Recycling","China, Hong Kong, Taiwan"
Seen Heng Lee Enterprise Sdn Bhd,25911 - P,1983.0,Paul Chua,Managing Director,Eugene Chua,Manager,"53, Jalan 1, Taman Desa Jaya, Kepong",52100.0,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-6276 2733/3981/3108,603-6276 6126,inquiry@molecorsea.com,,,"Machinery Supplier, Equipment Supplier, Pigments, Resins",
Sekoplas Industries Sdn Bhd,92720-W,1982.0,Ivan Tan Yong Lai,Managing Director,Sonia Lee,Sales Support Manager,"1, Jalan Seruling 57, Kawasan 3, Taman Klang Jaya Industrial Area, Klang",41200.0,Klang,Selangor,Malaysia,603-3080 3080,603-3323 1810,sales.asia@monitorerp.com,www.sekoplas.com.my,"Film Blowing/Film Extrusion , Gravure Printing","Packaging Bags, Garbage Bags, Gloves, Apron, Courier Bag, Others, Films and Bags","USA, Vietnam, Brunei, China, Japan, Mongolia, Australia, Philippines, Thailand, Singapore"
Semi Convertor Industries Sdn Bhd,261822-A,1974.0,Lau Fook Chye,Director,Lau Mun Hoe,Executive Officer,"Lot 27, Jalan Industri 3/1, Kawasan Perindustrian Gopeng, Gopeng, Ipoh",31600.0,,Perak,Malaysia,605-357 7041/5,605-357 7046,david.tan@motan.com,www.semi.com.my,"Lamination, Printing","Manufacturing of Multi-colour Printing and Multi-Layer, Lamination Flexible Plastic Packaging in Roll and Bags/Pouch, Gloves , Films and Bags",Singapore
See Hau Global Sdn Bhd,311566-V,1994.0,SC Cheah,Managing Director,CC Cheah,Deputy Managing Director,"80, Jalan Pahang",53000.0,,Kuala Lumpur,Malaysia,603-4042 1355,603-4042 3407,malaysia@mould-tip.com,www.intracopallet.com,"Injection Moulding, Extrusion Pelletising (Recycling)","Plastic Pallets, Bind and Resins , Industrial and Construction, Transportation","Asia, Middle East, Australia, New Zealand"
Zer Plastic Sdn Bhd,433694-W,1997.0,Zackry bin Mohamed Iwaz,Managing Director,Zackry bin Mohamed Iwaz,Managing Director,"A-08-09, Plaza Mont' Kiara, No. 2, Jalan Mon't Kiara",50480.0,,Wilayah Persekutuan,Malaysia,603-6201 0928,603-6201 2728,info.my@mpdv.com,www.zerplastic.com,"Extrusion, Injection Moulding","Plastic Pipes for Telecommunication, Water and Industrial Application , Industrial and Construction, Telecommunication",
Zantat Sdn Bhd,79120-A,1981.0,Ivan Chan Bin Iuan,Chief Executive Officer,Jane Watt Sook Ling,Marketing Manager,"PT24571 & PT 21289, Kawasan Industri Batu Kapur, Keramat Pulai, Kampung Kepayang",31350.0,,Perak,Malaysia,605-3571 653,605-3572 471,vivianwong1122@gmail.com,www.zantat.com.my/,,"Manufacturing, Manufacturer Raw Materials","India, Australia, Vietnam, Indonesia, Singapore, Thailand"
Zeito Plastic Components Sdn Bhd,107944-W,1992.0,BS Chew / KW Lee,Executiv Director / Managing Director,KK Tiu / YF Soo,Operations Manager / Project Manager,"Lot 9, Jalan CJ1/7, Kawasan Perusahaan Cheras Jaya, Jalan Balakong, Cheras",43200.0,,Selangor,Malaysia,603-9081 9877,603-9028 9877,enquiries_my@msventure.com.sg,www.zeito.com.my,"Injection Moulding, Mould Fabrication, Printing, Painting, Hot Stamping, Ultrasonic Welding, Sub-Assembly, Die Fabrication","Precision Injection Parts; Class 100K Cleanroom, Assembly for Medical Devices with Class 100K Cleanroom, Electrical and Electronics - Products, Parts and Accessories, Medical and Pharmaceutical - Products, Parts and Accessories","United Kingdom, Singapore, Japan, United States, Poland, Mexico, China, Europe"
Yutaka Sangyo Industries (M) Sdn Bhd,240897,1992.0,T Ohata,Managing Director,Clifford Wong,Marketing Director,"Lot 2, Jalan P/6, Kawasan Perindustrian Bangi, Bandar Baru Bangi",43650.0,,Selangor,Malaysia,603-8925 5286,603-8925 5288,mspet@po.jaring.my,,"Colouring Compounds , Plastic Mould and Die","Colour Compounding (ABS, HIPS, PMMA, PC, PP, PE, POM, PBT, AS)","Singapore, China, Japan, Thailand, Indonesia, Europe, Vietnam"
Yosogo Writing Instrument Sdn Bhd,179672-P,1989.0,Teh Aik Chai,Managing Director,Daisy Tan,Export Manager,"5500, Jalan Mak Mandin, Mak Mandin Industrial Estate, Butterworth",13400.0,,Pulau Pinang,Malaysia,604-332 1133,604-332 7278,mst_sb@yahoo.com,www.yosogo.com,Injection Moulding,"Marker Pen, Rulers, Colouring Pallets, Whiteboard Erasers, Document Trays, Aluminium Ruler, Magnetic and Non-magnetic Whiteboard, Clipboard, Mini Clip, Plastic Clip, Ball Pen, Marker Ink, French Curve, Bull Dog Clip, Wyboard Cleaner, Key Chain, Signboard, Paper Clips , Stationery","United States, South America, Africa, Middle East, Europe, Far East, South East Asia, Russia, Pacific Islands, Australia, New Zealand, Germany, Kuwait, United Arab Emirates, Sri Lanka, Maldives, Russia, Japan, Netherlands, Mauritius"
YT Fibreglass Industries Sdn Bhd,398505-M,2000.0,Ng Kim Ong,Managing Director,Tan Soon Huat,Manager,"Lot 11793, Jalan Pengkatan Nelayan, Telok Gong, Pelabuhan Klang",42000.0,,Selangor,Malaysia,603-3134 3888,603-3134 3889,tessa@mtplas.com,www.muifatt.com.my,"Hand-Lay Up Method, SMC Process","FRP Panel Tank and All Fiberglass Related Products , Industrial and Construction",
Yudo Sdn Bhd,403044-X,,Cheng Chee Kong,Director,Cheng Chee Kong,Director,"No. 2, Jalan Perindustrian PP3, Taman Perindustrian Putra Permai, Bandar Putra Permai",43300.0,Seri Kembangan,Selangor,Malaysia,03-8945 2127,03-8945 2128,enquiry@fibromat.com.my,www.yudo.com,,Machinery Supplier,
Yong-Li Industries Sdn Bhd,440610-M,1983.0,Tan Boon Tian,Manager,Tan Boon Tian,Manager,"189, Jalan Murni 10, Taman Perindustrian Murni, Senai",81400.0,,Johor,Malaysia,607-590 9638,607-598 8175,century@century2u.com,,Film Blowing/Film Extrusion,"Bags, Films (Shrinkable), Packaging (Electronics) , Packaging (Food) ,Films and Bags",Singapore
Yih Hor Engineering Workshop,000340124-X,1974.0,Chong Min Hoo,Sole Proprietor,Chong Min Hoo,Sole Proprietor,"Lot 2, No 38, Jalan Kilang 3, Jelapang Industrial Estate",30100.0,Ipoh,Perak,Malaysia,605-526 3032/4036,605-527 1171,multipac81@gmail.com,,,,
Express Audio Industry Sdn Bhd,,,Chan Tok Joo,Chief Executive Officer,Danny Ang,Deputy General Manager,"Lot 3385A, Batu 9 ½, Jalan Hulu Langat, Cheras",43200.0,,Selangor,Malaysia,603-9074 9707,603-9074 2539,info@multiplexpackaging.cc,www.expressaudio.com,Injection Moulding,"Casings for Audio Cassettes, Cassette Racks, CD Jewel Boxes, CD, VCD, CD Rom, PVC Fitting, Electrical and Electronics",
EXL Pipe (Borneo) Sdn Bhd,1196245-X,2016.0,Paul Chiam,Director,Clement Lai Tun Hao,,"Lot 626, Block 4, 1st Floor, MTLD, Jalan Bako, Petra Jaya",93050.0,Kuching,Sarawak,Malaysia,6082-432 267,6082-432 094,mymainichiden@gmail.com,,"Pipe Extrusion, Line Extrusion, Belling Mould","M-PVC Pipe , Industrial and Construction - Products and Parts",
Excel Mould Manufacturing Sdn Bhd,,1989.0,,,SL Lau,Director,"No. 1 & 3, Jalan Tambur 33/19, Shah Alam Technology Park, Seksyen 33",40400.0,Shah Alam,Selangor,Malaysia,603-5121 9888,603-5124 6898,lfy@my-brush.com,,,Mould Makers,"Europe, Japan"
Everyday Brush Industries (M) Sdn Bhd,244468-A,1993.0,Charlie Seow Thong Seng,Director,Charlie Seow Thong Seng,Director,"Lot 2, Jalan Perusahaan Ringan, Off Jalan Genting Klang, Setapak",53200.0,,Kuala Lumpur,Malaysia,603-4024 0010,603-4022 4182,chinhuat@nagase.com.my,www.everydaybrush.com,Bristing and Tufting,"Brooms, Brushes, Mop, Handles (Metal, Aluminium), Bathroom/Toilet, House Cleaning Utensils","Australia, Singapore"
Everwin Plastic Sdn Bhd,53425-P,1979.0,Tony Cheam,Managing Director,Chung Soo Ting,Business Development Manager,"16 (Plot 91) Lengkok Rishah Satu, Kawasan Perindustrian Silibin, Ipoh",30100.0,,Perak,Malaysia,605-526 3110,605-526 9586,vicki@nagoyaplastic.com,www.everwinplastic.com,"Film Blowing/Film Extrusion, Gravure Printing, Cutting, Sealing","Shrinkable Films, Shrink Bags, Printed Shrink Labels and Films, Films and Bags","Singapore, Thailand, Australia"
Evermal Industry Sdn Bhd,246636-U,,,,Low Kim Teck,Director,"PTD 8820, Batu 35½, Jalan Johor",82000.0,Pontian,Johor,Malaysia,607-688 1880/688 1889,607-688 2889,kokheng3339@gmail.com,,Film Blowing/Film Extrusion,"HDPE Carrier Bags, Stretch Film , Films and Bags",
Eurocan Plastics Sdn Bhd,1183286-K,2016.0,Loh Woei An,Director,,,"17, Persiaran Kilang, Jelapang Industrial Estate",30100.0,Ipoh,Perak,Malaysia,6011-1097 0898,605-282 9687,nci_ind@yahoo.com,,Film Blowing/Film Extrusion,"PP Plastic Bags, Films and Bags",
Euro SME Sdn Bhd,200901025037,2009.0,Muhammad Irfan s/o Muhammad Yousof,Director,Muhammad Ayoub Danka,Director,"No. 5, Jalan Utarid U5/1, Seksyen U5, Mah Sing Integrated Industrial Park, Shah Alam",40150.0,,Selangor,Malaysia,603-7846 6301,,enquiry@neptunetechnology.com.my,www.euromalaysia.com/,"Film Blowing/Film Extrusion, Printing, Conversion","Mailing Bags, Bread Bags, Garbage Bags, Flexiloop Bags, Vest Carrie , Packaging - Bag","European Union, Australia, United Kingdom"
Euro Plas-Pack Industries Sdn Bhd,253060-P,1992.0,Wong Toon Eng,Managing Director,Foo Dai Lye,Manufacturing Director,"33, Jalan Seruling 58, Taman Klang Jaya, Klang",41200.0,,Selangor,Malaysia,603-3323 2911,603-3323 2978,happy2help@nespackaging.com,,"Film Blowing/Film Extrusion, Lamination","PE Bags, Sheet in Gravure Printing, PE Shrinkable Films, PE Anti-Static Film & Black PE Conductive Film & Laminated Films and Bags, Films and Bags",
Etowa Corporation (M) Sdn Bhd,,1992.0,Lim Wee Chai (012-481 1928),Managing Director,,,"20, Lorong Industri Ringan Permatang tinggi 1, Kawasan Industri Ringan Permatang Tinggi, Bukit Mertajam",14000.0,,Pulau Pinang,Malaysia,604-508 2924,604-508 1107,enquiries@neueplas.com,,"Foam Moulding, Injection Moulding, Thermoforming , Silkscreen-painting, Pad-printing, Casting","Electrical & Electronic Products, Parts and Accessories, Others Packaging, Electrical and Electronics",
ESH Resource Management Sdn Bhd,390802-K,1996.0,Lesley Lim Yu Chin,Managing Director,Alice Lim Ai Hun,GM (Marketing & Business Development),"4988, Lot 527, Mukim 13, Disebelah Jalan Kampung Juru, Juru, Bukit Mertajam",14000.0,,Pulau Pinang,Malaysia,604-507 9235/6,,mttan@sterlingprofile.com,www.eshrm.com,"Sorting, Baling, Packaging all type of Recycled & Reconvened Materials","Carton, Plastic in bale form , Recycled Products","Vietnam, China"
Epsilon Medical Devices Sdn Bhd,758468-H,2007.0,Ng Hong Guan,Managing Director,Ng Keong Ho,Senior Project Manager,"Lot 5271, Jalan Perusahaan 3, Kamunting Industrial Estate, Kamunting",34600.0,,Perak,Malaysia,605-8913 158,605-8911 266,nicoleacc@ngpisb.com,www.epsilonmedicaldevices.com/,"Injection Moulding, Extrusion, Dipping","Medical Devices , Medical and Pharmaceutical - Products, Parts and Accessories","USA, China, United Kingdom, Pakistan, Vietnam, Ireland"
Epicor Software (M) Sdn Bhd,,2005.0,,,Grace Tan,"Field Marketing Manager, SEA","Unit 1101C, Level 11, Tower C, Uptown 5, 5, Jalan SS21/39, Damansara Uptown",47400.0,Petaling Jaya,Selangor,Malaysia,+603-7962 8800,+603-7722 4633,info@newplastic.com.my,www.epicor.com,,"ERP Provider, i4.0 Solution Providers",
EPD Plastic Industries Sdn Bhd,661437-K,2004.0,Ng Cheong Hock,Director,Ng Vee Zhern,Manager,"AL31 Lot 2276, Kampung Sungai Buloh, Seksyen U4, Shah Alam",40150.0,,Selangor,Malaysia,603-6156 7017,,enquiry@newlong.com.my,www.epdplastic.com,Extrusion Pelletising (Recycling),Recycled polymer resin - PE pellet,"China, India"
Eoss Grand Industries (M) Sdn Bhd,638533 - U,2004.0,Goh Siew Lee,Operation Director,Amy Tan,Operation Manager,"10, Jalan Sri Plentong 10, Kawasan Perindustrian Sri Plentong",81750.0,Masai,Johor,Malaysia,607-386 2799,607-388 2908,newvation@gmail.com,www.eossgrand.com,,Masterbatches,Indonesia
Enviro @ Rafflesia Business Support Sdn Bhd,1300470-P,2018.0,Luciano Pezzotta,Founder,Melvin Saw,Head of Business Development,"Unit C12-4, Level 12. Block C, Megan Avenue 2, Jalan Yap Kwan Seng",50450.0,Kuala Lumpur,,Malaysia,6012-210 9500,,ngeh@nextopolymer.com.my,www.enviro.asia,,,"South Asia, Taiwan, Japan, Australia"
Enviro Plus Sdn Bhd,1286558 - X,2018.0,Goh Swee Chuan,Director,,,"No. 3A, Persiaran Zurah 1, Pusat Perindustrian Zurah",44200.0,Rasa Hulu Selangor,Selangor,Malaysia,+6010-564 8182,,raimon.wong@ngr-world.com,,Extrusion Pelletising (Recycling),"Recycled Raw Materials - LDPE , Recycled Resin",
Enhance Plastic Industry Sdn Bhd,552529A,2001.0,Dominic GV Choong,Director,Dominic GV Choong,Director,"Lot 21820 Main Road, Jelapang, Ipoh",30020.0,,Perak,Malaysia,605-526 4857,605-526 0803,james@niban.com.my,www.enhanceplastics.com,"Blow Moulding, Injection Moulding , High Frequency Welding, Thermosetting","Food Packaging Containers and Bottles, Pharmaceutical & Medical Containers and Bottles, Shin Guard Protector and Sport Accessories Equipment, All type of Sport Water Bottles, Premium Water Bottles, Containers and Bottles, Houseware, Medical, Toys, Games, Sports, Cutleries","Europe, United States"
Engel Singapore Pte Ltd,200923224N,2009.0,Thomas Lim,Sales Director,Bobby Lee,Sales Manager,"12 Tannery Road, # 08 -01, HB Centre 1",347722.0,Singapore,Singapore,Singapore,0065-6743 3162,0065-6743 1176,joblee86@gmail.com,www.engelglobal.com,,Sales & Services of Engel Machineries i4.0 Solution Providers,
Elim Industries Sdn Bhd,291748-X,2004.0,George Lee He Liong,Managing Director,George Lee He Liong,Managing Director,"Lot 1369, Block 12, MTLD, Sama Jaya Free Industrial Zone Kuching",93450.0,,Sarawak,Malaysia,6082-367 075,6082-366 472,enquiry@nisseitm.com.my,,"Film Casting, Injection Moulding","PS Tray, PET Preform, PE Caps, Containers and Bottles",Brunei
Emico Penang Sdn Bhd,105312-D,1983.0,Francis Lim Teck Chye,Managing Director,Tracey Lim,Business Development Manager,"18, Lebuhraya Kg Jawa, Bayan Lepas",11900.0,,Pulau Pinang,Malaysia,604-644 8201,604-644 8182,nitcoplastic@gmail.com,www.emico.com.my,"Injection Moulding, Ultrasonic Welding","Health Care Products, Trophy Components, OEM Manufacturing, Promotional and Premium Gift Items","United States, Italy, Sweden, France, Germany, Poland, United Arab Emirates, United Kingdom, Canada, Sri Lanka, Thailand, Indonesia, Vietnam, Singapore"
Electrofast Manufacturing Sdn Bhd,,2001.0,Caroline Lee,CEO,,,"Lot 10383 & 10438, Jalang Sungai Jati",41000.0,Klang,Selangor,Malaysia,603-5161 0000,,henrickgan@njrp.com.my,www.electrofast.com.my,"Injection Moulding, Assembly, Sub-Assembly, Silkscreen-printing","Home Appliance Parts and Components, Vacuum Cleaner, Water Filter, Water Purifier, Plastic Parts up to 3KG, OEM Manufacturing Industrial , Electrical and Electronics - Products, Parts and Accessories, OEM Manufacturing","United States, UAE, Indonesia, Philippines, India"
Eiffel Plastic Industries Sdn Bhd,110824 H,,Tee Ah Chong,CEO,Irene Tee Sew Hong,Executive Officer,"Lot 18-20, Lian Seng Light Industrial Estate, Mile 5 ½, Jalan Bakan, Off Jalan Tuaran, Inananm, Kota Kinabalu",88450.0,,Sabah,Malaysia,6088-423 391/658,6088-423 391,jack.ng@nncplastic.com,,"Blow Moulding, Injection Moulding","PE Containers (1L, 3L, 5L and 1kg), PVC bottles (1kg, 2kg, 5kg), PVC Containers, PP Bottles (620ml, 320ml, ½kg, 500ml), Containers and Bottles, Medical","Brunei, Labuan"
EHP Industries Sdn Bhd,959164-U,2011.0,Yeoh Kheng Hoe,CEO,Esther Yeoh,Sales & Marketing,"405 E & F, Jalan Perak, Georgetown",11600.0,,Pulau Pinang,Malaysia,604-282 9644,604-282 5613,sales.enquiry@chienjin.com,ehpind.com/,Film Blowing/Film Extrusion,"Plastic Bags and Sheets, Rolls, Perforated Loops , Films and Bags","Singapore, Vietnam, France, China"
Egrowth Sdn Bhd,242500-M,,Lim Cha,Director,Lim Cha,Director,"52, Persiaran Wangsa Baiduri 2, Wangsa Baiduri, Subang Jaya",47500.0,,Selangor,Malaysia,"603-5632 4700, 012-289 2431 (HP)",603-5638 9195,sales@nova-ace.com.my,,Recycling,"PP, HDPE Injection Grade, HDPE Blow Grade, LDPE Film Grade, Virgin HDPE TR144, HD6000F/7000F, Replacement Screw/Barrel, Plastic Film Blowing Machine, Plastic Bag Cutting Machine, CC Filler Masterbatch, PVC Resin SG5","China, South Korea, North Korea, Taiwan, Vietnam, Thailand, Burma, India, Nepal, Sri Lanka, Maldives, Mauritius, Israel, Algeria, Tunisia, Egypt, Sudan, Ethiopia"
Eesin Plastics (M) Sdn Bhd,,1978.0,Lai Poong Chong / Daniel Lai,Chief Executive Officer,Cindy Lai,General Manager,"1 & 3, Jalan Banang Satu, Kawasan Perindustrian Taman Johor, Johor Bahru",81200.0,,Johor,Malaysia,607-207 4647,,tekin@vesbo.com.sg,www.eesinplastics.com.my/,Injection Moulding,"Drawer, Chair, Racks, Storage Container, Basket, Industrial & Construction,  Houseware, Kitchenware and Tableware, Furniture","Singapore, Mauritius, Australia"
EE-Lian Plastic Industries (M) Sdn Bhd,591415-M,2005.0,Tan Soon Ping,Director,Heng Lih Jiun,General Manager,"947, Lorong Perindustrian Bukit Minyak 11, Bukit Minyak Industrial Park, Bukit Minyak, Bukit Mertajam",14000.0,,Pulau Pinang,Malaysia,604-5089822/5023511,604-508 1928,ck@ntbimetallic.com,www.elianware.com,"Injection Moulding , High Frequency Welding, Silkscreen-painting, Ultrasonic Welding","Houseware, Kitchenware and Tableware, Industrial Pail, Industrial and Construction",Singapore
Ecoplas Sdn Bhd,200901001188,2009.0,Lim Hock Hong,Managing Director,Lee Kok How,Chief Executive Officer,"10 Jalan Bestari 4/KU7, Taman Perindustrian Kapar Bestari, Kapar 42200 Klang, Selangor, Malaysia",42200.0,Klang,Selangor,Malaysia,03-3290 7326,03-3290 7323,sales@nu-plus.com.my,www.ecoplas.com.my,Blow Extrusion,"LDPE & HDPE in Bag Sheet & Roll Form, Stretch Film, Flexible Packaging , Films and Bags",
Ecomold Technology Sdn Bhd,656359-H,2004.0,Wha Ching Chong,Director,Wha Ching Chong,Director,"10, Jalan Sungai Kayu Ara 32/36, Taman Perusahaan Berjaya, Seksyen 32",40460.0,Shah Alam,Selangor,Malaysia,03-3000 6888,03-3000 6889,ngcsb_2010@hotmail.com,,,Mould Makers,"Thailand, Indonesia, New Zealand"
ECO Power Synergy Sdn Bhd,878449-X,2009.0,Tojo Chang Chin Fooi,Managing Director,Jonathan Chang Ren Quan,Business Development Director,"No. 1A, Jalan Kenari 9, Bandar Puchong Jaya, Puchong",47100.0,,Selangor,Malaysia,603-80768023,603-8076 8026,nylex@nylex.com,www.ecopowermasterbatch.com.my/,Extrusion,"Plastic Masterbatch , Compounds, Masterbatches, Pigments","Vietnam, Thailand, India, Japan"
Dynamic Frank Sdn Bhd,384164-A,1996.0,Beh Cheng Siong,Chief Executive Officer,Beh Cheng Siong,Chief Executive Officer,"Plot 63, Lorong Perusahaan Maju 4, Prai Industrial Estate, Phase 4",13600.0,Prai,Pulau Pinang,Malaysia,604-507 8300,604-507 8500,polymer@ocmerit.com,www.frank-group.com,,"Additives, Compounds, Masterbatches, Pigments, Resins","Indonesia, Myanmar"
EB Packaging Sdn Bhd,,1995.0,Siow Chew Kiong,Managing Director,,Managing Director,"22-30, Jalan Sri Sulong 19/A, Taman Industri Sri Sulong, Batu Pahat",83020.0,,Johor,Malaysia,607-410 1188,607-410 2688,olpp@live.com.my,,"Film Blowing/Film Extrusion, Film Casting, Lamination","PE Film/Plastic Bags, Stretch/Shrink Film, Films and Bags","Australia, Singapore, Philippines, Korea, Japan"
E Shun Plastic Enterprise,,2002.0,Lim Sock Cheng,Managing Director,Tan Kim Hock,Sales Manager,"4, Jalan Budi 12, Taman Perindustrian Wawasan, Batu Pahat",83000.0,,Johor,Malaysia,607-428 5812,607-428 5817,oceanrotomould@gmail.com,,Blow Moulding,"Plastic Bottle, Containers and Bottles",
Dynaplast (M) Sdn Bhd,193334-T,2000.0,Yirin Choo,Director,Yirin Choo,Sales Marketing,"16 Jalan P10/16, Taman Industri Selamam Seksyen 10 Bandar Baru Bangi, Bangi",43650.0,,Selangor,Malaysia,603-8926 2623,603-8926 2673,ockrecycle@yahoo.com,www.dynaplast.com.my,"Injection Moulding, Stretch Blowing, Packaging, Labeling, Shrink Wrapping, Printing","PET Bottles, Bottles and Jar Container for Shampoo/Lotion/Oil/Cream, Caps and Closures, PET Preform, Roll-On , Containers and Bottles, Toiletries Personal Items","Singapore, Vietnam, India, Indonesia, Japan, Cambodia, Australia"
Durapower Sdn Bhd,292813-A,1994.0,Kok Yon Lan,Managing Director,Kok Kim Yoon,Director,"PTD18696, Batu 24 ½, Jalan Kulai-air Hitam",81000.0,Kulai,Johor,Malaysia,607-6521 166,607-6521 199,ocsplas@tm.net.my,www.durapower.com.my,"Thermoforming, Film Blowing/Film Extrusion","Plastic Sheet, Thermo Vacuumed Tray, Plastic Cups, Films and Bags, Foam","Singapore, Vietnam, China, Bangladesh"
